incident_number,call_type,call_type_group,call_time,Street,call_origin,mental_health,drug_related,dv_related,alcohol_related,Area,AreaName,Latitude,Longitude,Hour,DayOfWeek
18BU020032,Traffic,Motor Vehicle,9/1/18 9:57,Main St / S Union St,Phone,0,0,0,0,D,Downtown,44.47685108,-73.21022819,9:00 AM,Saturday
18BU020033,Accident - LSA,Motor Vehicle,9/1/18 9:59,Howard St/St Paul St,Phone,0,0,0,0,E,SouthEnd,44.46738277,-73.20849756,9:00 AM,Saturday
18BU020034,Found/Lost Property,Public Service,9/1/18 10:13,S Champlain St,Phone,0,0,0,0,E,SouthEnd,44.47131,-73.21716803,10:00 AM,Saturday
18BU020035,Traffic,Motor Vehicle,9/1/18 10:18,Battery St / Maple St,Phone,0,0,0,0,E,SouthEnd,44.47229554,-73.21778849,10:00 AM,Saturday
18BU020036,Traffic,Motor Vehicle,9/1/18 11:25,Battery St / College St,Officer/Radio,0,0,0,0,D,Downtown,44.47861163,-73.21752561,11:00 AM,Saturday
18BU020037,Traffic,Motor Vehicle,9/1/18 11:46,Shelburne Rd/Ferguson Ave,Officer/Radio,0,0,0,0,E,SouthEnd,44.45470739,-73.20717725,11:00 AM,Saturday
18BU020038,Found/Lost Property,Public Service,9/1/18 12:00,City Hall Park,Phone,0,0,0,0,D,Downtown,44.47573091,-73.21387713,12:00 PM,Saturday
18BU020039,Assist – Motorist,Motor Vehicle,9/1/18 12:06,Plattsburg Ave / Beltline Exit,Phone,0,0,0,0,D,Downtown,44.48220332,-73.21711409,12:00 PM,Saturday
18BU020040,Retail Theft,Property,9/1/18 12:11,Shelburne Rd,Phone,0,0,0,0,E,SouthEnd,44.44909526,-73.21283067,12:00 PM,Saturday
18BU020041,Retail Theft,Property,9/1/18 12:15,Shelburne Rd,Phone,0,0,0,0,E,SouthEnd,44.45016144,-73.21001924,12:00 PM,Saturday
18BU020042,Traffic,Motor Vehicle,9/1/18 12:20,Shelburne Rd/Prospect Pkwy,Phone,0,0,0,0,E,SouthEnd,44.45721327,-73.20771764,12:00 PM,Saturday
18BU020043,Suspicious Event,Public Service,9/1/18 12:40,N Winooski Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48775763,-73.20801782,12:00 PM,Saturday
18BU020044,Traffic,Motor Vehicle,9/1/18 13:20,Shelburne Rd/I 189,Phone,0,0,0,0,,,44.44917636,-73.20485455,1:00 PM,Saturday
18BU020045,Traffic,Motor Vehicle,9/1/18 13:38,Colchester Ave/Fletcher Pl,Phone,0,0,0,0,C,UniversityHillSection,44.47981913,-73.19648226,1:00 PM,Saturday
18BU020046,Threats/Harassment,Other,9/1/18 13:41,Mill St,911,0,1,0,0,C,UniversityHillSection,44.48826677,-73.18461153,1:00 PM,Saturday
18BU020047,Larceny - from Motor Vehicle,Property,9/1/18 13:44,Saratoga Ave,Phone,0,0,0,0,A,NewNorthEnd,44.5051567,-73.2389684,1:00 PM,Saturday
18BU020048,DLS,Motor Vehicle,9/1/18 13:56,North St/N Winooski Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48341392,-73.21026262,1:00 PM,Saturday
18BU020049,Alarm,Public Service,9/1/18 14:28,Brookes Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48217086,-73.20141513,2:00 PM,Saturday
18BU020050,Traffic,Motor Vehicle,9/1/18 14:56,North Ave/Ward St,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48818304,-73.22396717,2:00 PM,Saturday
18BU020051,Mental Health Issue,Public Service,9/1/18 15:06,S Champlain St,Phone,0,0,0,0,E,SouthEnd,44.47058792,-73.21649198,3:00 PM,Saturday
18BU020052,Assist - Agency,Assist,9/1/18 15:18,North Ave/North St,Phone,0,0,0,0,B,OldNorthEnd,44.48313723,-73.2223539,3:00 PM,Saturday
18BU020053,Traffic,Motor Vehicle,9/1/18 15:21,Pearl St/N Champlain St,Phone,0,0,0,0,B,OldNorthEnd,44.4799161,-73.21783981,3:00 PM,Saturday
18BU020054,Assist - Agency,Assist,9/1/18 15:23,Colchester Ave,Phone,0,0,0,0,C,UniversityHillSection,44.47840525,-73.19238675,3:00 PM,Saturday
18BU020055,Traffic,Motor Vehicle,9/1/18 15:43,Shelburne Rd/Adams Ct,Phone,0,0,0,0,E,SouthEnd,44.46209753,-73.20687224,3:00 PM,Saturday
18BU020056,Suspicious Event,Public Service,9/1/18 15:51,N Champlain St/Manhattan Dr,Phone,0,0,0,0,B,OldNorthEnd,44.48846398,-73.21934439,3:00 PM,Saturday
18BU020057,Trespass,Other,9/1/18 17:22,Colchester Ave,Phone,1,0,0,0,C,UniversityHillSection,44.48138461,-73.19307284,5:00 PM,Saturday
18BU020059,Traffic,Motor Vehicle,9/1/18 18:22,Shelburne Rd / Ledge Rd,Officer/Radio,0,0,0,0,E,SouthEnd,44.46434123,-73.20817686,6:00 PM,Saturday
18BU020060,Suspicious Event,Public Service,9/1/18 18:31,Gazo Ave / Randy Ln,911,0,0,0,0,A,NewNorthEnd,44.51913407,-73.24625407,6:00 PM,Saturday
18BU020061,Traffic,Motor Vehicle,9/1/18 18:40,Shelburne Rd/Ferguson Ave,Officer/Radio,0,0,0,0,E,SouthEnd,44.45210167,-73.2081324,6:00 PM,Saturday
18BU020062,Assist - Public,Public Service,9/1/18 18:51,Pine St,Phone,0,0,0,0,NA,NA,44.4781877,-73.21746634,6:00 PM,Saturday
18BU020063,Domestic Disturbance,Domestic,9/1/18 18:53,NA,911,1,0,1,0,C,UniversityHillSection,NA,NA,6:00 PM,Saturday
18BU020064,Mental Health Issue,Public Service,9/1/18 19:23,Pine St,Phone,0,0,0,0,E,SouthEnd,44.45585166,-73.21436929,7:00 PM,Saturday
18BU020065,Runaway,Public Service,9/1/18 19:23,Ethan Allen Pkwy,Officer/Radio,0,0,0,0,A,NewNorthEnd,44.50629573,-73.240777,7:00 PM,Saturday
18BU020066,Mental Health Issue,Public Service,9/1/18 19:32,Lakeview Cemetary,911,1,0,0,0,NA,NA,44.49377154,-73.23203131,7:00 PM,Saturday
18BU020067,Assist - Agency,Assist,9/1/18 19:36,North Beach,Phone,0,0,0,0,A,NewNorthEnd,44.49385977,-73.24102837,7:00 PM,Saturday
18BU020068,Noise,Quality of Life,9/1/18 19:43,Church St,Phone,0,0,0,0,D,Downtown,44.47468271,-73.21365598,7:00 PM,Saturday
18BU020069,Assist - Agency,Assist,9/1/18 19:50,St Paul St,Phone,0,0,0,0,E,SouthEnd,44.47249328,-73.21324274,7:00 PM,Saturday
18BU020070,Assist - Agency,Assist,9/1/18 20:05,Cherry St,Phone,0,0,0,0,D,Downtown,44.47810554,-73.21712886,8:00 PM,Saturday
18BU020071,Trespass,Other,9/1/18 20:17,N Winooski Ave,911,0,0,0,0,B,OldNorthEnd,44.4850041,-73.20827698,8:00 PM,Saturday
18BU020072,Found/Lost Property,Public Service,9/1/18 20:19,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48432821,-73.22175979,8:00 PM,Saturday
18BU020073,Assist - Public,Public Service,9/1/18 20:24,St Paul St,911,0,0,0,0,E,SouthEnd,44.4670877,-73.21079198,8:00 PM,Saturday
18BU020074,Found/Lost Property,Public Service,9/1/18 20:26,King St,911,0,0,0,0,D,Downtown,44.47611899,-73.21870612,8:00 PM,Saturday
18BU020075,Suspicious Event,Public Service,9/1/18 20:32,Bank St,911,0,0,0,0,D,Downtown,44.47845606,-73.21444777,8:00 PM,Saturday
18BU020076,Suspicious Event,Public Service,9/1/18 20:48,Colchester Ct,911,0,0,0,0,C,UniversityHillSection,44.48580207,-73.18679336,8:00 PM,Saturday
18BU020077,Mental Health Issue,Public Service,9/1/18 20:55,North Ave,Phone,1,0,0,0,B,OldNorthEnd,44.48141488,-73.22287677,8:00 PM,Saturday
18BU020078,Assist - Public,Public Service,9/1/18 21:09,Church St,Phone,0,0,0,0,D,Downtown,44.47820859,-73.21091631,9:00 PM,Saturday
18BU020079,Traffic,Motor Vehicle,9/1/18 21:43,Riverside Ave/Bright St,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48751496,-73.20864876,9:00 PM,Saturday
18BU020080,Violation of Conditions of Release,Court Order,9/1/18 21:47,Lafountain St,911,0,0,0,1,B,OldNorthEnd,44.48432063,-73.21654247,9:00 PM,Saturday
18BU020081,Parking,Motor Vehicle,9/1/18 21:55,Intervale Ave/Spring St,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48748173,-73.21186856,9:00 PM,Saturday
18BU020082,Disturbance,Quality of Life,9/1/18 21:58,N Union St,911,0,0,0,0,C,UniversityHillSection,44.48479515,-73.21011391,9:00 PM,Saturday
18BU020083,Larceny - Other,Property,9/1/18 21:59,Elmwood Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48599554,-73.2159291,9:00 PM,Saturday
18BU020084,Found/Lost Property,Public Service,9/1/18 22:04,Church St,Phone,0,0,0,0,D,Downtown,44.4809376,-73.21273087,10:00 PM,Saturday
18BU020086,Foot Patrol,Public Service,9/1/18 22:27,Hungerford Ter / Buell St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.47948122,-73.20791111,10:00 PM,Saturday
18BU020087,Traffic,Motor Vehicle,9/1/18 22:28,College St / S Union St,Officer/Radio,0,0,0,0,D,Downtown,44.47698452,-73.20748734,10:00 PM,Saturday
18BU020088,Ordinance Violation - Other,Quality of Life,9/1/18 22:28,Isham St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48169252,-73.20612363,10:00 PM,Saturday
18BU020089,Intoxication,Quality of Life,9/1/18 22:31,King St,Phone,0,0,0,0,D,Downtown,44.47535414,-73.21813998,10:00 PM,Saturday
18BU020090,Foot Patrol,Public Service,9/1/18 22:33,S Union St / Bradley St,Phone,0,0,0,0,D,Downtown,44.47985628,-73.20868187,10:00 PM,Saturday
18BU020091,Foot Patrol,Public Service,9/1/18 22:43,S Williams St/College St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.47672994,-73.20503218,10:00 PM,Saturday
18BU020092,Mental Health Issue,Public Service,9/1/18 22:45,Front St,911,0,0,0,0,B,OldNorthEnd,44.4853982,-73.22048003,10:00 PM,Saturday
18BU020093,Noise,Quality of Life,9/1/18 23:09,Peru St/Johnson St,Phone,0,0,0,1,B,OldNorthEnd,44.48389795,-73.21737104,11:00 PM,Saturday
18BU020094,Noise,Quality of Life,9/1/18 23:20,Colchester Ave,Phone,0,0,0,1,C,UniversityHillSection,44.48427634,-73.18959657,11:00 PM,Saturday
18BU020095,Intoxication,Quality of Life,9/1/18 23:29,Nash Pl,Phone,0,0,0,1,NA,NA,44.48295039,-73.18961904,11:00 PM,Saturday
18BU020096,Ordinance Violation - Other,Quality of Life,9/1/18 23:41,College St / S Williard St,Officer/Radio,0,0,0,1,NA,NA,44.47902743,-73.20753678,11:00 PM,Saturday
18BU020097,Traffic,Motor Vehicle,9/1/18 23:49,Riverside Ave/Hildred Dr,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48987872,-73.19871525,11:00 PM,Saturday
18BU020098,Accident - LSA,Motor Vehicle,9/1/18 23:55,S Winooski Ave,911,0,0,0,0,D,Downtown,44.47795884,-73.21128341,11:00 PM,Saturday
18BU020099,Found/Lost Property,Public Service,9/1/18 23:58,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48168096,-73.2222945,11:00 PM,Saturday
18BU020100,Assist - Agency,Assist,9/2/18 0:08,Main St/Church St,Officer/Radio,0,0,0,0,D,Downtown,44.47654899,-73.2135148,12:00 AM,Sunday
18BU020101,Found/Lost Property,Public Service,9/2/18 0:17,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48423083,-73.21994852,12:00 AM,Sunday
18BU020102,Disturbance,Quality of Life,9/2/18 0:57,Flynn Ave,Phone,0,0,0,0,E,SouthEnd,44.45524402,-73.2119919,12:00 AM,Sunday
18BU020103,Disturbance,Quality of Life,9/2/18 1:08,Church St/Maple St,Phone,0,0,0,1,D,Downtown,44.47187425,-73.21262127,1:00 AM,Sunday
18BU020104,Ordinance Violation - Other,Quality of Life,9/2/18 1:12,S Willard St / Buell St,Officer/Radio,0,0,0,1,C,UniversityHillSection,44.48061342,-73.20758794,1:00 AM,Sunday
18BU020105,Mental Health Issue,Public Service,9/2/18 1:23,Pine St,Phone,1,0,0,0,E,SouthEnd,44.46060972,-73.21314471,1:00 AM,Sunday
18BU020106,Found/Lost Property,Public Service,9/2/18 1:26,Church St/College St,Officer/Radio,0,0,0,0,D,Downtown,44.47775904,-73.21124549,1:00 AM,Sunday
18BU020107,Suspicious Event,Public Service,9/2/18 1:38,North Ave,911,0,0,0,0,B,OldNorthEnd,44.48920444,-73.22600535,1:00 AM,Sunday
18BU020108,Noise,Quality of Life,9/2/18 1:41,Cliff St,Phone,0,0,0,0,E,SouthEnd,44.46884624,-73.19953827,1:00 AM,Sunday
18BU020109,Intoxication,Quality of Life,9/2/18 1:42,S Willard St,Phone,0,0,0,0,E,SouthEnd,44.47384266,-73.20745024,1:00 AM,Sunday
18BU020110,DUI,Motor Vehicle,9/2/18 1:42,S Willard St / College St,Officer/Radio,0,0,0,1,C,UniversityHillSection,44.47945571,-73.20722458,1:00 AM,Sunday
18BU020111,Domestic Assault - Felony,Domestic,9/2/18 1:51,NA,911,0,0,1,1,B,OldNorthEnd,NA,NA,1:00 AM,Sunday
18BU020112,Suspicious Event,Public Service,9/2/18 2:12,Main St,911,0,0,0,0,D,Downtown,44.47805517,-73.21055583,2:00 AM,Sunday
18BU020113,Traffic,Motor Vehicle,9/2/18 2:21,S Winooski Ave/Cherry St,Officer/Radio,0,0,0,0,D,Downtown,44.48014187,-73.21109973,2:00 AM,Sunday
18BU020114,Disturbance,Quality of Life,9/2/18 2:24,Main St,Officer/Radio,0,0,0,0,D,Downtown,44.47689371,-73.21434877,2:00 AM,Sunday
18BU020115,Suspicious Event,Public Service,9/2/18 2:42,College St,911,0,0,0,0,D,Downtown,44.47650598,-73.21354069,2:00 AM,Sunday
18BU020116,Suspicious Event,Public Service,9/2/18 2:54,Cherry St / Pine St,Phone,0,0,0,1,D,Downtown,44.47913004,-73.21542026,2:00 AM,Sunday
18BU020117,Suspicious Event,Public Service,9/2/18 2:58,S Winooski Ave,Phone,0,0,0,0,D,Downtown,44.47785188,-73.21086175,2:00 AM,Sunday
18BU020118,Intoxication,Quality of Life,9/2/18 3:31,St Paul St/Kilburn St,911,0,0,0,0,E,SouthEnd,44.47025093,-73.21499748,3:00 AM,Sunday
18BU020119,Suspicious Event,Public Service,9/2/18 4:05,Main St,Phone,0,0,0,0,D,Downtown,44.47654398,-73.21114365,4:00 AM,Sunday
18BU020120,Domestic Disturbance,Domestic,9/2/18 4:32,NA,Phone,0,0,1,1,B,OldNorthEnd,NA,NA,4:00 AM,Sunday
18BU020121,Assault - Simple,Assault,9/2/18 5:31,Colchester Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48033717,-73.19453625,5:00 AM,Sunday
18BU020122,Alarm,Public Service,9/2/18 5:43,Battery St,Phone,0,0,0,0,D,Downtown,44.4724677,-73.21733703,5:00 AM,Sunday
18BU020123,Welfare Check,Public Service,9/2/18 6:44,S Winooski Ave,Phone,0,0,0,0,D,Downtown,44.47714609,-73.21187266,6:00 AM,Sunday
18BU020124,Parking,Motor Vehicle,9/2/18 7:28,Hungerford Ter / Buell St,Phone,0,0,0,0,C,UniversityHillSection,44.47840569,-73.20778725,7:00 AM,Sunday
18BU020125,Juvenile Problem,Public Service,9/2/18 7:48,NA,Phone,0,0,0,0,A,NewNorthEnd,NA,NA,7:00 AM,Sunday
18BU020126,Suspicious Event,Public Service,9/2/18 8:20,North St,Phone,0,0,0,0,B,OldNorthEnd,44.48244539,-73.22137942,8:00 AM,Sunday
18BU020127,Foot Patrol,Public Service,9/2/18 9:26,Marketplace,Phone,0,0,0,0,D,Downtown,44.47728245,-73.21376854,9:00 AM,Sunday
18BU020128,Found/Lost Property,Public Service,9/2/18 9:39,North Ave,In Person,0,0,0,0,B,OldNorthEnd,44.4829962,-73.21988857,9:00 AM,Sunday
18BU020129,Assist – Motorist,Motor Vehicle,9/2/18 10:06,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48873033,-73.22827336,10:00 AM,Sunday
18BU020130,Traffic,Motor Vehicle,9/2/18 10:07,127 / Plattsburg Ave,Officer/Radio,0,0,0,0,A,NewNorthEnd,44.52214346,-73.25529356,10:00 AM,Sunday
18BU020131,Larceny - from Motor Vehicle,Property,9/2/18 10:12,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.49031975,-73.22827463,10:00 AM,Sunday
18BU020132,Parking,Motor Vehicle,9/2/18 10:22,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48195484,-73.22120225,10:00 AM,Sunday
18BU020133,Welfare Check,Public Service,9/2/18 10:23,S Willard St,Phone,1,0,0,0,C,UniversityHillSection,44.48082702,-73.20462574,10:00 AM,Sunday
18BU020135,Welfare Check,Public Service,9/2/18 10:34,Cliff St,Phone,0,0,0,0,E,SouthEnd,44.4693241,-73.20049189,10:00 AM,Sunday
18BU020136,Illegal Dumping,Quality of Life,9/2/18 10:44,Buell St,Phone,0,0,0,0,C,UniversityHillSection,44.47829573,-73.2074938,10:00 AM,Sunday
18BU021302,Accident - LSA,Motor Vehicle,9/2/18 11:05,North St,Online Report,0,0,0,0,B,OldNorthEnd,44.48564471,-73.22084393,11:00 AM,Sunday
18BU020134,Foot Patrol,Public Service,9/2/18 11:43,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47792088,-73.21486014,11:00 AM,Sunday
18BU020137,Accident - Property damage only,Motor Vehicle,9/2/18 12:05,Pine St/Flynn Ave,Phone,0,0,0,0,E,SouthEnd,44.45396995,-73.21542433,12:00 PM,Sunday
18BU020138,Foot Patrol,Public Service,9/2/18 12:20,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47587348,-73.21374536,12:00 PM,Sunday
18BU020139,Ordinance Violation - Other,Quality of Life,9/2/18 12:45,Church St,Phone,0,0,0,0,D,Downtown,44.47469981,-73.21060107,12:00 PM,Sunday
18BU020140,Parking,Motor Vehicle,9/2/18 12:55,Hungerford Ter,Phone,0,0,0,0,C,UniversityHillSection,44.47696965,-73.20764098,12:00 PM,Sunday
18BU020141,Motor Vehicle Complaint,Motor Vehicle,9/2/18 13:12,Church St/Bank St,Phone,0,0,0,0,D,Downtown,44.47748311,-73.21393943,1:00 PM,Sunday
18BU020142,Parking,Motor Vehicle,9/2/18 13:25,Hickok Pl / Green St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48264435,-73.20700047,1:00 PM,Sunday
18BU020143,Noise,Quality of Life,9/2/18 13:33,Grant St,Phone,0,0,0,0,C,UniversityHillSection,44.48143485,-73.21160286,1:00 PM,Sunday
18BU020144,Suspicious Event,Public Service,9/2/18 14:48,Rt 127/Plattsburg Ave,Phone,0,0,0,0,A,NewNorthEnd,44.52406363,-73.25591904,2:00 PM,Sunday
18BU020145,Welfare Check,Public Service,9/2/18 14:56,S Prospect St,911,0,0,0,0,E,SouthEnd,44.45583626,-73.19782964,2:00 PM,Sunday
18BU020146,Foot Patrol,Public Service,9/2/18 14:57,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47599642,-73.21170143,2:00 PM,Sunday
18BU020147,Foot Patrol,Public Service,9/2/18 14:58,Marketplace,Phone,0,0,0,0,D,Downtown,44.47948086,-73.21184933,2:00 PM,Sunday
18BU020148,Threats/Harassment,Other,9/2/18 15:02,Colchester Ave,Phone,1,0,0,0,C,UniversityHillSection,44.47866996,-73.1945975,3:00 PM,Sunday
18BU020149,Operations,Administrative,9/2/18 15:05,Airport Pkwy,Officer/Radio,0,0,0,0,,,44.46710477,-73.15285038,3:00 PM,Sunday
18BU020150,Assist - Public,Public Service,9/2/18 15:08,Riverside Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48949366,-73.20595594,3:00 PM,Sunday
18BU020151,Motor Vehicle Complaint,Motor Vehicle,9/2/18 15:11,Shelburne Rd,Phone,0,0,0,0,E,SouthEnd,44.45740502,-73.20850674,3:00 PM,Sunday
18BU021306,Larceny - Other,Property,9/2/18 15:23,Park St,Phone,0,0,0,0,B,OldNorthEnd,44.4859792,-73.22082387,3:00 PM,Sunday
18BU020152,Found/Lost Property,Public Service,9/2/18 15:39,Main St/S Winooski Ave,In Person,0,0,0,0,D,Downtown,44.47650469,-73.21251173,3:00 PM,Sunday
18BU020153,Accident - Property damage only,Motor Vehicle,9/2/18 16:28,Riverside Ave / Hillside Ter,Phone,0,0,0,0,C,UniversityHillSection,44.48690794,-73.1968311,4:00 PM,Sunday
18BU020154,Intoxication,Quality of Life,9/2/18 16:50,Battery Park,Phone,0,0,0,1,B,OldNorthEnd,44.4797832,-73.21841361,4:00 PM,Sunday
18BU020156,Disturbance,Quality of Life,9/2/18 17:14,Pearl St / Church St,911,0,0,0,0,B,OldNorthEnd,44.48104982,-73.21295984,5:00 PM,Sunday
18BU020157,Domestic Disturbance,Domestic,9/2/18 17:20,NA,911,0,0,1,0,B,OldNorthEnd,NA,NA,5:00 PM,Sunday
18BU020158,Larceny - from Motor Vehicle,Property,9/2/18 17:48,Spring St,Phone,0,0,0,0,B,OldNorthEnd,44.48654368,-73.21430703,5:00 PM,Sunday
18BU020159,Foot Patrol,Public Service,9/2/18 17:52,North St/Rose St,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48419776,-73.21648385,5:00 PM,Sunday
18BU020160,Foot Patrol,Public Service,9/2/18 18:05,Marketplace,Phone,0,0,0,0,D,Downtown,44.47792866,-73.21488843,6:00 PM,Sunday
18BU020161,Noise,Quality of Life,9/2/18 18:26,North St,Phone,0,0,0,0,B,OldNorthEnd,44.4841875,-73.22257119,6:00 PM,Sunday
18BU020162,Welfare Check,Public Service,9/2/18 18:44,Colchester Ave/Calarco Ct,911,1,0,0,0,C,UniversityHillSection,44.48553148,-73.18861294,6:00 PM,Sunday
18BU020163,Foot Patrol,Public Service,9/2/18 18:59,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47871535,-73.21343852,6:00 PM,Sunday
18BU020164,Traffic,Motor Vehicle,9/2/18 19:03,Shelburne Rd / Ferguson Ave,Officer/Radio,0,0,0,0,E,SouthEnd,44.4537287,-73.2097856,7:00 PM,Sunday
18BU020165,Foot Patrol,Public Service,9/2/18 19:13,Colchester Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48279916,-73.18812041,7:00 PM,Sunday
18BU020166,Traffic,Motor Vehicle,9/2/18 19:29,Rt 127 / Plattsburg Ave,Phone,0,0,0,0,A,NewNorthEnd,44.5229441,-73.25467812,7:00 PM,Sunday
18BU020167,Suspicious Event,Public Service,9/2/18 19:47,Claire Point Rd,911,0,0,0,0,A,NewNorthEnd,44.5276416,-73.27023993,7:00 PM,Sunday
18BU020168,Foot Patrol,Public Service,9/2/18 19:57,Spring St / Archibald St,Phone,0,0,0,0,B,OldNorthEnd,44.48847318,-73.21534954,7:00 PM,Sunday
18BU020169,Disturbance,Quality of Life,9/2/18 20:07,N Winooski Ave,911,0,0,0,1,C,UniversityHillSection,44.48533218,-73.21042509,8:00 PM,Sunday
18BU020170,Suspicious Event,Public Service,9/2/18 20:10,Southmeadow Dr,Phone,0,0,0,0,E,SouthEnd,44.44700957,-73.21045196,8:00 PM,Sunday
18BU020171,Suspicious Event,Public Service,9/2/18 20:15,Loaldo Dr,Phone,0,0,0,0,A,NewNorthEnd,44.51539537,-73.25565656,8:00 PM,Sunday
18BU020172,Vandalism,Property,9/2/18 20:26,Intervale Ave,Phone,0,0,0,0,B,OldNorthEnd,44.4850806,-73.21105343,8:00 PM,Sunday
18BU020173,Traffic,Motor Vehicle,9/2/18 20:26,Main St / Univeristy Hgts,Phone,0,0,0,0,C,UniversityHillSection,44.47455114,-73.19634066,8:00 PM,Sunday
18BU020174,Noise,Quality of Life,9/2/18 20:32,S Winooski Ave/King St,Phone,0,0,0,0,D,Downtown,44.47541949,-73.21234487,8:00 PM,Sunday
18BU020175,Welfare Check,Public Service,9/2/18 20:33,S Prospect St,Phone,0,0,0,0,E,SouthEnd,44.47390635,-73.20029521,8:00 PM,Sunday
18BU020176,Traffic,Motor Vehicle,9/2/18 20:46,S Prospect St / College St,Phone,0,0,0,0,NA,NA,44.47654175,-73.20129449,8:00 PM,Sunday
18BU020177,Traffic,Motor Vehicle,9/2/18 21:06,Battery St / Main St,Officer/Radio,0,0,0,0,D,Downtown,44.47462346,-73.2191796,9:00 PM,Sunday
18BU020178,Traffic,Motor Vehicle,9/2/18 21:49,Shelburne Rd/Ferguson Ave,Officer/Radio,0,0,0,0,E,SouthEnd,44.45572436,-73.20916536,9:00 PM,Sunday
