origin,name,city,state,country,latitude,longitude,count
HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503,3
HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.92240719999998,24
HOU,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,33
HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444,13
HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389,5
HSV,Huntsville International,Huntsville,AL,USA,34.6404475,-86.77310944,15
HTS,Tri-State/Walker-Long,Huntington,WV,USA,38.36666667,-82.55802778,1
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,71
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,114
ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583,19
IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51455556,-112.07016670000002,3
ILM,Wilmington International,Wilmington,NC,USA,34.27061111,-77.90255556,4
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,40
INL,Falls International,International Falls,MN,USA,48.56618722,-93.40306667,1
IPL,Imperial County,Imperial,CA,USA,32.83422028,-115.5787456,2
ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194,9
ITH,Tompkins Cty,Ithaca,NY,USA,42.49102778,-76.45844444,1
ITO,Hilo International,Hilo,HI,USA,19.72026306,-155.04847030000002,3
IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122,3
JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389,9
JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889,13
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,35
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,68
JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.57627639999998,7
KOA,Kona International At Keahole,Kailua/Kona,HI,USA,19.73876583,-156.0456314,12
KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374,4
LAN,Capital City,Lansing,MI,USA,42.7787,-84.58735806,4
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998,91
LAW,Lawton-Ft Sill Regional,Lawton,OK,USA,34.56771444,-98.41663667,2
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999,90
LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778,7
LCH,Lake Charles Regional,Lake Charles,LA,USA,30.126097499999997,-93.22340361,1
LEX,Blue Grass,Lexington,KY,USA,38.03697222,-84.60538889,14
LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655,3
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,60
LGB,Long Beach (Daugherty),Long Beach,CA,USA,33.81772222,-118.1516111,21
LIH,Lihue,Lihue,HI,USA,21.97598306,-159.3389581,10
LIT,Adams,Little Rock,AR,USA,34.72939611,-92.22424556,21
LMT,Klamath Falls International,Klamath Falls,OR,USA,42.15614361,-121.7332081,3
LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925,8
LRD,Laredo International,Laredo,TX,USA,27.54373861,-99.46154361,2
LSE,La Crosse Municipal,La Crosse,WI,USA,43.87937972,-91.25653778,2
LWB,Greenbrier Valley,Lewisburg,WV,USA,37.85830556,-80.39947222,1
LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37449806,-117.01539440000002,3
LYH,Lynchburg Municipal-Preston Glenn,Lynchburg,VA,USA,37.32668528,-79.20043056,1
MAF,Midland International,Midland,TX,USA,31.94252778,-102.20191390000001,7
MBS,Mbs International,Saginaw,MI,USA,43.53291472,-84.07964722,3
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,52
MCN,Middle Georgia Regional,Macon,GA,USA,32.69284944,-83.64921083,1
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,89
MDT,Harrisburg Intl,Harrisburg,PA,USA,40.19349528,-76.76340361,14
MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,54
MEI,Key,Meridian,MS,USA,32.33313333,-88.75120556,1
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,79
MFE,McAllen Miller International,McAllen,TX,USA,26.17583333,-98.23861111,3
MFR,Rogue Valley International,Medford,OR,USA,42.37422778,-122.8734978,12
MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611,3
MHT,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,18
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556,48
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333,53
MKG,Muskegon County,Muskegon,MI,USA,43.16948806,-86.23822306,3
MLB,Melbourne International,Melbourne,FL,USA,28.10275,-80.64580556,2
MLI,Quad City,Moline,IL,USA,41.44852639,-90.50753917,9
MLU,Monroe Regional,Monroe,LA,USA,32.51086556,-92.03768778,3
MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333,5
MOD,Modesto City-County-Harry Sham,Modesto,CA,USA,37.62581722,-120.95442140000002,5
MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339,1
MQT,Marquette County Airport,,,USA,46.353639,-87.395361,3
MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.84294779999999,9
MSN,Dane County Regional,Madison,WI,USA,43.13985778,-89.33751361,17
MSO,Missoula International,Missoula,MT,USA,46.91630556,-114.09055559999999,6
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,126
MSY,New Orleans International,New Orleans,LA,USA,29.99338889,-90.25802778,41
MTJ,Montrose Regional,Montrose,CO,USA,38.50886722,-107.89383329999998,8
MYR,Myrtle Beach International,Myrtle Beach,SC,USA,33.67975,-78.92833333,11
OAJ,Albert J Ellis,Jacksonville,NC,USA,34.82916444,-77.61213778,2
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.22071670000001,34
OGG,Kahului,Kahului,HI,USA,20.89864972,-156.43045780000003,17
OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,30
OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,28
OME,Nome,Nome,AK,USA,64.51220222,-165.4452458,2
ONT,Ontario International,Ontario,CA,USA,34.056,-117.60119440000001,33
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,149
ORF,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,26
OTH,North Bend Muni,North Bend,OR,USA,43.41713889,-124.2460278,2
OTZ,Ralph Wien Memorial,Kotzebue,AK,USA,66.88467694,-162.5985497,2
OXR,Oxnard,Oxnard,CA,USA,34.20080083,-119.20721640000001,2
PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,25
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,45
PFN,Panama City-Bay County International,Panama City,FL,USA,30.21208333,-85.68280556,4
PHF,Newport News/Williamsburg International,Newport News,VA,USA,37.13189556,-76.4929875,6
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,61
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.00805559999999,88
PIA,Greater Peoria Regional,Peoria,IL,USA,40.66424333,-89.69330556,7
PIH,Pocatello Regional,Pocatello,ID,USA,42.91130556,-112.59586110000001,1
PIR,Pierre Regional,Pierre,SD,USA,44.38267694,-100.285965,2
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,34
PLN,Pellston Regional  of Emmet County,Pellston,MI,USA,45.5709275,-84.796715,2
PMD,Palmdale Production Flight,Palmdale,CA,USA,34.62938889,-118.0845528,1
PNS,Pensacola Regional,Pensacola,FL,USA,30.47330556,-87.18744444,9
PSC,Tri-Cities,Pasco,WA,USA,46.26468028,-119.11902920000001,3
PSE,Mercedita,Ponce,PR,USA,18.00830278,-66.56301194,4
PSG,James C. Johnson Petersburg,Petersburg,AK,USA,56.80165194,-132.9452781,2
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,16
PUB,Pueblo Memorial,Pueblo,CO,USA,38.28908722,-104.4965722,1
PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,22
PWM,Portland International Jetport,Portland,ME,USA,43.64616667,-70.30875,13
RAP,Rapid City Regional,Rapid City,SD,USA,44.04532139,-103.0573708,5
RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019,3
RDM,Roberts,Redmond,OR,USA,44.25406722,-121.1499633,5
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,43
RFD,Greater Rockford,Rockford,IL,USA,42.19536389,-89.09721111,1
RHI,Rhinelander-Oneida County,Rhinelander,WI,USA,45.63119306,-89.46745361,1
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,22
RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA,41.5942175,-109.0651928,3
RNO,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.76806470000001,24
ROA,Roanoke Regional/ Woodrum,Roanoke,VA,USA,37.32546833,-79.97542833,8
ROC,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,17
ROW,Roswell Industrial Air Center,Roswell,NM,USA,33.30155556,-104.5305556,1
RST,Rochester International,Rochester,MN,USA,43.90882639,-92.49798722,3
RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,35
SAN,San Diego International-Lindbergh,San Diego,CA,USA,32.73355611,-117.1896567,54
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,43
SAV,Savannah International,Savannah,GA,USA,32.12758333,-81.20213889,16
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733,10
SBN,South Bend Regional,South Bend,IN,USA,41.70895361,-86.31847417,5
SBP,San Luis Obispo Co-McChesney,San Luis Obispo,CA,USA,35.23705806,-120.64239309999999,8
SCC,Deadhorse,Deadhorse,AK,USA,70.19475583,-148.4651608,2
SCE,University Park,,,USA,40.851206,-77.84630200000001,3
SDF,Louisville International-Standiford,Louisville,KY,USA,38.17438889,-85.736,28
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.30931310000001,56
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,74
SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806,11
SGU,St George Muni,St George,UT,USA,37.09058333,-113.59305559999999,6
SHV,Shreveport Regional,Shreveport,LA,USA,32.446627500000005,-93.82559833,6
SIT,Sitka,Sitka,AK,USA,57.04713806,-135.3615983,3
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.92900890000001,30
SJT,San Angelo Regional /Mathis,San Angelo,TX,USA,31.35775,-100.4963056,1
SJU,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,23
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,114
SLE,McNary Fld,Salem,OR,USA,44.90952778,-123.0025,2
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,37
SMX,Santa Maria Pub/Capt G Allan Hancock,Santa Maria,CA,USA,34.89924833,-120.4575825,1
SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.86822250000002,26
SPI,Capital,Springfield,IL,USA,39.84395194,-89.67761861,2
SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333,1
SRQ,Sarasota Bradenton International,Sarasota,FL,USA,27.39533333,-82.55411111,16
STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,50
STT,Cyril E. King,Charlotte Amalie,VI,USA,18.33730556,-64.97336111,9
STX,Henry E. Rohlsen,Christiansted,VI,USA,17.70188889,-64.79855556,5
SUN,Friedman Memorial,Hailey,ID,USA,43.50484139,-114.29659029999999,2
SUX,Sioux Gateway,Sioux City,IA,USA,42.40260333,-96.38436694,1
SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833,8
SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056,15
TEX,Telluride Regional,Telluride,CO,USA,37.95375861,-107.90848000000001,1
TLH,Tallahassee Regional,Tallahassee,FL,USA,30.39652778,-84.35033333,8
TOL,Toledo Express,Toledo,OH,USA,41.58680556,-83.80783333,3
TPA,Tampa International,Tampa,FL,USA,27.97547222,-82.53325,62
TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056,4
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,31
TUP,Tupelo Municipal,Tupelo,MS,USA,34.26810833,-88.76989499999999,1
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.94102779999999,30
TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235,7
TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356,3
TXK,Texarkana Regional-Webb,Texarkana,AR,USA,33.45370806,-93.99101999999999,1
TYR,Tyler Pounds,Tyler,TX,USA,32.35413889,-95.40238611,1
TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583,16
VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222,1
VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254,7
WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242,2
WYS,Yellowstone,West Yellowstone,MT,USA,44.68839917,-111.1176375,1
XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111,23
YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261,2
YKM,Yakima Air Terminal,Yakima,WA,USA,46.56816972,-120.54405940000001,1
YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.60597220000001,6
