Name,Type,Address,Town,Capacity
Vernon Assisted Living Residence,Assisted Living Residence,13 GREENWAY DRIVE,Vernon,44
Vernon Green Nursing Home,Nursing Home,61 Greenway Drive,Vernon,60
Village at Cedar Hill,Assisted Living Residence,92 CEDAR HILL DRIVE,Windsor,72
Wake Robin - Linden Nursing Ctr,Nursing Home,200 Wake Robin Drive,Shelburne,51
Wake Robin - Linden Residential Care,Residential Care Facility,200 Wake Robin Drive,Shelburne,31
Washington Elms,Residential Care Facility,126 Elm Street,Bennington,24
Waterford Group Home,Residential Care Facility,659 High Ridge Road,Waterford,4
Watson House,Residential Care Facility,18 Prospect Street,North Bennington,25
West River Valley Assisted Living Residence,Assisted Living Residence,461 Grafton Road,Townsend,42
Westview Meadows at Montpelier,Residential Care Facility,171 Westview Meadows Road,Montpelier,25
Willows of Windsor,Residential Care Facility,121 State Street,Windsor,14
Windover House,Residential Care Facility,451 VT Route 66,Randolph,15
Wintergreen Residential Care Home,Residential Care Facility,3 UNION STREET,Brandon,8
Wintergreen Residential Care Home - North,Residential Care Facility,360 NEW ROAD,Brandon,10
Woodridge Nursing Home,Nursing Home,142 Woodridge Road PO Box 550,Barre,153
Woodstock Terrace,Assisted Living Residence,456 WOODSTOCK ROAD EAST,Woodstock,52
